Date,Value,Return(%)
2025-01-02,1000000.0,0.0
2025-01-03,1000000.0,0.0
2025-01-06,1000000.0,0.0
2025-01-07,1000000.0,0.0
2025-01-08,1000000.0,0.0
2025-01-09,1000000.0,0.0
2025-01-10,1000000.0,0.0
2025-01-13,1000000.0,0.0
2025-01-14,1000000.0,0.0
2025-01-15,1000000.0,0.0
2025-01-16,1000000.0,0.0
2025-01-17,1000000.0,0.0
2025-01-20,1000000.0,0.0
2025-01-21,1000000.0,0.0
2025-01-22,1000000.0,0.0
2025-02-03,1000000.0,0.0
2025-02-04,1000000.0,0.0
2025-02-05,1000000.0,0.0
2025-02-06,1000000.0,0.0
2025-02-07,998577.0714512501,-0.14229285487499244
2025-02-10,1001067.863085,0.10678630850000648
2025-02-11,1002389.9897725,0.23899897724999342
2025-02-12,1000559.6897725001,0.055968977249998275
2025-02-13,1027696.7897724999,2.769678977250001
2025-02-14,1045378.6397725,4.537863977250001
2025-02-17,1051732.8897725,5.173288977250001
2025-02-18,1049723.8397725,4.972383977250017
2025-02-19,1052722.21061,5.272221061000004
2025-02-20,1057943.96061,5.7943960609999845
2025-02-21,1059187.2419399999,5.918724193999991
2025-02-24,1066526.3855650001,6.652638556500001
2025-02-25,1066790.685565,6.679068556500001
2025-02-26,1072657.4855649997,7.2657485564999735
2025-02-27,1059818.2368025,5.981823680249998
2025-03-03,1058249.4333025,5.82494333025001
2025-03-04,1045288.2333024999,4.528823330249976
2025-03-05,1054280.5548525,5.428055485250005
2025-03-06,1053575.2623100001,5.357526231000009
2025-03-07,1048073.66231,4.807366230999999
2025-03-10,1052090.3452325002,5.2090345232500335
2025-03-11,1040341.7279075001,4.034172790750001
2025-03-12,1035707.4279075001,3.5707427907500033
2025-03-13,1034904.1309074999,3.4904130907499997
2025-03-14,1043894.8642012501,4.389486420125022
2025-03-17,1034984.0318187501,3.4984031818749983
2025-03-18,1036511.15634875,3.6511156348749907
2025-03-19,1021914.3169887501,2.1914316988750127
2025-03-20,1029748.6279062501,2.974862790624999
2025-03-21,1005528.84024375,0.552884024375011
2025-03-24,996673.09499625,-0.33269050037499914
2025-03-25,992408.96519125,-0.7591034808750008
2025-03-26,996105.96519125,-0.38940348087500576
2025-03-27,993067.40156625,-0.6932598433749937
2025-03-28,976299.78615375,-2.3700213846249985
2025-03-31,940083.3689850001,-5.991663101499989
2025-04-01,948985.3279775002,-5.101467202249987
2025-04-02,945003.5363525001,-5.499646364749989
2025-04-07,914608.3077487501,-8.539169225124986
2025-04-08,914608.3077487501,-8.539169225124986
2025-04-09,914608.3077487501,-8.539169225124986
2025-04-10,914608.3077487501,-8.539169225124986
2025-04-11,914608.3077487501,-8.539169225124986
2025-04-14,914478.2130862501,-8.55217869137499
2025-04-15,915735.7130862501,-8.426428691374987
2025-04-16,918997.4373287502,-8.100256267124983
2025-04-17,916073.4139537502,-8.39265860462498
2025-04-18,920308.35713,-7.969164286999996
2025-04-21,909418.0310425,-9.058196895749992
2025-04-22,899028.0310425,-10.097196895749994
2025-04-23,924704.6278525001,-7.529537214749993
2025-04-24,913560.0278525001,-8.643997214749987
2025-04-25,924270.2778525001,-7.572972214749996
2025-04-28,934286.0278525001,-6.571397214749986
2025-04-29,938453.2009025001,-6.154679909749994
2025-04-30,934436.6509025,-6.556334909749994
2025-05-02,957954.5509025002,-4.204544909749986
2025-05-05,948981.6009025001,-5.1018399097499945
2025-05-06,968188.4009025001,-3.1811599097499865
2025-05-07,960559.1009025001,-3.9440899097499926
2025-05-08,968042.8509025001,-3.1957149097499915
2025-05-09,976581.3509025001,-2.341864909749991
2025-05-12,981665.7509025,-1.8334249097500033
2025-05-13,981779.7009025001,-1.8220299097499892
2025-05-14,1001166.3509025001,0.11663509025001684
2025-05-15,999916.5509025,-0.008344909749991025
2025-05-16,1002712.3509025001,0.27123509024999937
2025-05-19,988241.5624887499,-1.1758437511250164
