Date,Value,Return(%)
2025-01-02,1000000.0,0.0
2025-01-03,1000000.0,0.0
2025-01-06,1000000.0,0.0
2025-01-07,1000000.0,0.0
2025-01-08,1000000.0,0.0
2025-01-09,1000000.0,0.0
2025-01-10,1000000.0,0.0
2025-01-13,1000000.0,0.0
2025-01-14,1000000.0,0.0
2025-01-15,1000000.0,0.0
2025-01-16,1000000.0,0.0
2025-01-17,1000000.0,0.0
2025-01-20,1000000.0,0.0
2025-01-21,1000000.0,0.0
2025-01-22,1000000.0,0.0
2025-02-03,1000000.0,0.0
2025-02-04,1000000.0,0.0
2025-02-05,999857.7030625,-0.014229693750000827
2025-02-06,998683.2160625,-0.131678393750001
2025-02-07,1002420.7160625,0.242071606250005
2025-02-10,1001105.7160625,0.1105716062500095
2025-02-11,1004255.7160625,0.4255716062500081
2025-02-12,1002905.7160625,0.2905716062500119
2025-02-13,1005513.2160625,0.5513216062499993
2025-02-14,1000940.8329125,0.09408329125000225
2025-02-17,1004411.8329125,0.44118329125000244
2025-02-18,1011893.8329125,1.1893832912500013
2025-02-19,1014828.8329125,1.4828832912499923
2025-02-20,1011036.3329125,1.1036332912500058
2025-02-21,1017570.3140375001,1.757031403750009
2025-02-24,1015709.3140375001,1.5709314037499977
2025-02-25,1010793.3140375001,1.0793314037500057
2025-02-26,1014689.8140375001,1.4689814037500026
2025-02-27,1004641.3140375001,0.46413140375001216
2025-03-03,998916.8140375001,-0.10831859624998996
2025-03-04,998670.6319875,-0.1329368012499943
2025-03-05,1006132.6319875,0.6132631987499915
2025-03-06,1005770.6319875,0.5770631987499941
2025-03-07,997523.6319875,-0.2476368012499952
2025-03-10,996244.1319875,-0.3755868012499941
2025-03-11,986098.1319875,-1.390186801250004
2025-03-12,989072.1011375,-1.0927898862500007
2025-03-13,981799.4304750001,-1.8200569524999932
2025-03-14,977270.4304750001,-2.2729569524999937
2025-03-17,978241.9304750001,-2.1758069524999923
2025-03-18,988349.9304750001,-1.1650069524999918
2025-03-19,978761.6636575,-2.1238336342500053
2025-03-20,990029.1136574999,-0.9970886342500096
2025-03-21,985558.2603825,-1.444173961749995
2025-03-24,966958.4603825001,-3.3041539617499893
2025-03-25,970809.9103825,-2.9190089617499915
2025-03-26,972490.1278825001,-2.750987211749989
2025-03-27,950757.69225125,-4.924230774874994
2025-03-28,927308.44225125,-7.269155774874991
2025-03-31,877113.7922512501,-12.288620774874992
2025-04-01,900330.54225125,-9.966945774875002
2025-04-02,903171.5422512501,-9.682845774874993
2025-04-07,813947.3422512502,-18.60526577487498
2025-04-08,762872.2422512501,-23.712775774874995
2025-04-09,700526.5422512501,-29.94734577487499
2025-04-10,769902.44225125,-23.009755774874996
2025-04-11,803730.91425,-19.626908575
2025-04-14,818941.91425,-18.105808574999994
2025-04-15,846373.8142500002,-15.362618574999987
2025-04-16,821670.7142500001,-17.832928574999997
2025-04-17,826079.41425,-17.392058575000004
2025-04-18,831776.5642499999,-16.82234357500001
2025-04-21,805051.5142499999,-19.494848575000013
2025-04-22,788406.6142500001,-21.159338574999985
2025-04-23,827492.0642500002,-17.250793574999978
2025-04-24,823711.9642500001,-17.628803574999996
2025-04-25,841843.66425,-15.815633575
2025-04-28,848835.96425,-15.116403575000003
2025-04-29,873707.36425,-12.629263575000005
2025-04-30,879296.6142500001,-12.070338574999994
2025-05-02,897598.86425,-10.240113574999999
2025-05-05,878033.6142500001,-12.196638574999985
2025-05-06,894090.2852500002,-10.590971474999977
2025-05-07,884898.38525,-11.510161474999991
2025-05-08,899484.7352500001,-10.051526474999983
2025-05-09,918247.8159500001,-8.175218404999995
2025-05-12,940035.56595,-5.996443405000007
2025-05-13,942511.144075,-5.748885592500008
2025-05-14,951297.044075,-4.870295592500007
2025-05-15,952777.5940749999,-4.722240592500004
2025-05-16,952290.9940749999,-4.770900592500005
2025-05-19,938780.20629625,-6.121979370374997
